date,time,location,all_aboard,total_fatalities,cause
03/22/1952,1400,Canada,4,4,Sin Dato
03/22/1952,1045,Germany,47,45,Weather
03/24/1952,310,Africa,21,17,Unknown
03/26/1952,-1,Russia,70,70,Sin Dato
03/29/1952,-1,Venezuela,12,12,Sin Dato
03/30/1952,-1,Philippines,29,10,Sin Dato
04/05/1952,825,USA,2,2,Weather
04/09/1952,807,Japan,37,37,Sin Dato
04/10/1952,-1,India,4,4,Engine Failures
04/11/1952,1220,Rico,69,52,Engine Failures
04/18/1952,334,USA,29,29,Weather
04/29/1952,440,Brazil,50,50,Engine Failures
04/30/1952,-1,India,9,9,Fuel Starvation
05/05/1952,-1,Norway,29,11,Sin Dato
05/09/1952,-1,Malaysia,17,17,Sin Dato
05/13/1952,-1,Brazil,22,5,Engine Failures
05/24/1952,-1,Brazil,6,6,Engine Failures
05/26/1952,845,Mauritania,18,1,Fuel Starvation
06/13/1952,1129,Sea,8,8,Shot Down
06/14/1952,949,UK,8,6,Engine Failures
06/24/1952,-1,UK,11,11,Cargo Hold / Cabin / Cockpit Fires
06/25/1952,-1,Sea,13,11,Sin Dato
07/18/1952,0,USA,46,41,Fuel Starvation
07/27/1952,1146,Brazil,27,1,Engine Failures
08/12/1952,-1,Brazil,24,24,Sin Dato
08/21/1952,100,Italy,57,7,Engine Failures
08/26/1952,700,Pakistan,18,18,Engine Failures
08/29/1952,2105,Sudan,4,2,Sin Dato
09/06/1952,1540,UK,1,1,Design Flaws
09/10/1952,-1,Panama,46,46,Sin Dato
09/15/1952,-1,Sudan,3,3,Sin Dato
10/05/1952,1602,Russia,21,21,Air Traffic Control Errors
10/08/1952,-1,Scotland,14,14,Sin Dato
10/14/1952,-1,Brazil,28,14,Cargo Hold / Cabin / Cockpit Fires
10/16/1952,-1,Korea,25,25,Sin Dato
10/29/1952,830,USA,16,16,Weather
11/06/1952,-1,Chad,6,5,Sin Dato
11/07/1952,300,USA,19,19,Sin Dato
11/14/1952,1445,Korea,44,44,Sin Dato
11/15/1952,-1,USA,20,20,Sin Dato
11/17/1952,-1,USA,16,9,Engine Failures
11/22/1952,2015,USA,52,52,Sin Dato
11/28/1952,50,USA,38,37,Weather
12/06/1952,-1,Bugaria,18,18,Sin Dato
12/06/1952,440,Bermuda,41,37,Unknown
12/20/1952,630,USA,115,87,Cargo Hold / Cabin / Cockpit Fires
12/21/1952,-1,USA,3,3,Sin Dato
12/25/1952,-1,Venezuela,5,3,Sin Dato
12/25/1952,-1,Iran,29,27,Sin Dato
12/30/1952,-1,Taiwan,10,2,Cargo Hold / Cabin / Cockpit Fires
01/05/1953,2139,Ireland,35,27,Sin Dato
01/07/1953,2055,USA,7,7,Cargo Hold / Cabin / Cockpit Fires
01/07/1953,412,USA,40,40,Weather
01/15/1953,448,Italy,26,26,Weather
01/26/1953,1144,Italy,19,19,Sin Dato
02/02/1953,530,Canada,39,39,Sin Dato
02/03/1953,-1,Vietnam,18,18,Sin Dato
02/07/1953,1028,France,19,9,Weather
02/09/1953,1900,Egypt,40,29,Weather
02/14/1953,1710,USA,46,46,Weather
03/03/1953,335,Pakistan,11,11,Engine Failures
03/04/1953,150,USA,2,2,Sin Dato
03/14/1953,-1,India,16,16,Weather
03/17/1953,-1,Vietnam,8,8,Sin Dato
03/18/1953,410,Newfoundland,23,23,Sin Dato
03/18/1953,1951,Newfoundland,10,10,Sin Dato
03/20/1953,1838,USA,35,35,Cargo Hold / Cabin / Cockpit Fires
03/27/1953,-1,Brazil,14,14,Engine Failures
03/29/1953,-1,Tanganyika,13,13,Sin Dato
04/10/1953,-1,Madagascar,15,4,Engine Failures
04/10/1953,-1,Jamaica,13,13,Engine Failures
04/14/1953,-1,India,3,3,Design Flaws
04/14/1953,222,USA,25,7,Engine Failures
04/16/1953,-1,Vietnam,30,30,Sin Dato
04/20/1953,2308,USA,10,8,Sin Dato
05/02/1953,1635,India,43,43,Weather
05/07/1953,-1,UK,10,10,Unknown
05/09/1953,128,India,18,18,Engine Failures
05/11/1953,-1,Canada,19,2,Sin Dato
05/17/1953,1415,USA,20,19,Weather
05/24/1953,418,USA,7,6,Fuel Starvation
05/25/1953,1530,Netherlands,34,0,Sin Dato
05/27/1953,350,Russia,20,20,Sin Dato
06/14/1953,1635,USA,18,18,Weather
06/15/1953,-1,Rica,17,9,Sin Dato
06/15/1953,-1,Chile,7,7,Cargo Hold / Cabin / Cockpit Fires
06/16/1953,-1,Indo-China,34,34,Cargo Hold / Cabin / Cockpit Fires
06/17/1953,2200,Brazil,17,17,Weather
06/18/1953,1634,Japan,129,129,Engine Failures
07/12/1953,841,USA,58,58,Weather
07/17/1953,2315,USA,46,44,Sin Dato
07/27/1953,1230,Korea,21,21,Shot Down
08/03/1953,228,Turkey,42,4,Engine Failures
08/03/1953,2237,Emirates,25,1,Sin Dato
08/05/1953,-1,Coast,23,19,Cargo Hold / Cabin / Cockpit Fires
08/18/1953,-1,USA,2,2,Sin Dato
09/01/1953,2330,France,42,42,Unknown
09/01/1953,1842,USA,21,21,Sin Dato
09/08/1953,1316,Honduras,3,3,Engine Failures
09/14/1953,-1,Mexico,2,1,Weather
09/16/1953,834,USA,28,28,Weather
09/25/1953,1010,Turkey,21,5,Cargo Hold / Cabin / Cockpit Fires
09/28/1953,1618,USA,41,25,Engine Failures
10/14/1953,1454,Germany,44,44,Engine Failures
10/17/1953,-1,Vietnam,7,2,Unknown
10/19/1953,56,USA,27,2,Weather
10/19/1953,710,Mexico,21,21,Sin Dato
10/27/1953,1118,Russia,32,22,Engine Failures
10/29/1953,844,USA,19,19,Weather
10/31/1953,30,Russia,16,15,Engine Failures
11/03/1953,-1,Bolivia,28,28,Sin Dato
11/11/1953,1730,Scotland,10,10,Sin Dato
12/04/1953,1700,Spain,33,23,Sin Dato
12/12/1953,325,India,14,13,Cargo Hold / Cabin / Cockpit Fires
12/15/1953,-1,Guatemala,2,2,Sin Dato
12/15/1953,-1,Egypt,6,6,Sin Dato
12/17/1953,650,Islands,16,11,Engine Failures
12/19/1953,1855,Switzerland,44,1,Sin Dato
12/21/1953,-1,Syria,15,9,Sin Dato
01/02/1954,-1,Afghanistan,21,21,Weather
01/05/1954,-1,Turkey,10,4,Sin Dato
01/06/1954,1720,UK,17,16,Unknown
01/10/1954,1105,Italy,35,35,Design Flaws
01/11/1954,615,Colombia,21,21,Sin Dato
01/12/1954,1355,Republic,18,13,Cargo Hold / Cabin / Cockpit Fires
01/13/1954,-1,USA,1,1,Sin Dato
01/14/1954,1150,Italy,16,16,Weather
01/20/1954,708,USA,3,3,Sin Dato
02/01/1954,1350,Japan,35,35,Cargo Hold / Cabin / Cockpit Fires
02/05/1954,-1,USA,16,10,Sin Dato
02/12/1954,-1,Malta,10,10,Sin Dato
02/25/1954,1100,India,3,3,Sin Dato
02/26/1954,1032,USA,9,9,Weather
03/04/1954,1430,France,20,20,Sin Dato
03/13/1954,1434,Singapore,40,33,Cargo Hold / Cabin / Cockpit Fires
03/14/1954,420,Australia,2,2,Sin Dato
03/19/1954,2230,USA,18,18,Weather
03/26/1954,-1,Mexico,18,18,Weather
04/03/1954,1340,Turkey,25,25,Sin Dato
04/04/1954,-1,Vietnam,4,4,Sin Dato
04/08/1954,2004,Italy,21,21,Design Flaws
04/08/1954,1003,Canada,36,36,Sin Dato
04/13/1954,1310,Chile,14,14,Sin Dato
04/13/1954,-1,Laos,23,16,Cargo Hold / Cabin / Cockpit Fires
04/23/1954,2125,Argentina,25,25,Unknown
04/30/1954,918,India,11,5,Engine Failures
05/22/1954,923,Zealand,28,3,Fuel Starvation
05/31/1954,-1,Brazil,19,19,Sin Dato
06/03/1954,-1,Slovenia,4,1,Sin Dato
06/04/1954,1100,Brazil,3,3,Sin Dato
06/08/1954,-1,Vietnam,4,4,Unknown
06/19/1954,2300,UK,9,3,Fuel Starvation
07/02/1954,1200,Brazil,24,24,Engine Failures
07/23/1954,845,China,18,10,Shot Down
08/08/1954,1540,USA,2,2,Sin Dato
08/09/1954,240,Portugal,30,30,Sin Dato
08/12/1954,-1,Vietnam,3,3,Sin Dato
08/16/1954,-1,Laos,55,47,Engine Failures
08/22/1954,1703,USA,19,12,Weather
08/23/1954,1135,Sea,21,21,Sin Dato
08/26/1954,1050,Russia,27,26,Sin Dato
08/27/1954,2211,Dekota,27,26,Sin Dato
09/05/1954,239,Ireland,56,28,Fuel Starvation
09/12/1954,2008,Brazil,26,6,Weather
09/15/1954,-1,Egypt,4,3,Engine Failures
09/27/1954,57,Russia,29,29,Weather
10/24/1954,1750,Italy,21,21,Sin Dato
10/28/1954,10,Russia,16,16,Sin Dato
10/30/1954,100,USA,42,42,Sin Dato
10/31/1954,1510,Australia,8,3,Sin Dato
11/16/1954,-1,Peru,24,24,Sin Dato
11/30/1954,1115,Hampshire,7,2,Sin Dato
12/04/1954,-1,Laos,29,29,Sin Dato
12/12/1954,2304,Slovakia,4,4,Sin Dato
12/18/1954,1400,USA,32,26,Sin Dato
12/18/1954,-1,Venezuela,2,2,Sin Dato
12/22/1954,2300,USA,28,10,Fuel Starvation
12/25/1954,-1,Scotland,36,28,Pilot Incapacitation
12/31/1954,-1,Russia,17,17,Sin Dato
01/01/1955,-1,USA,12,12,Sin Dato
01/11/1955,2100,Ireland,18,18,Sin Dato
01/12/1955,905,USA,15,15,Sin Dato
01/15/1955,5,Canada,5,1,Sin Dato
01/19/1955,1625,USA,39,0,Engine Failures
01/31/1955,-1,Colombia,5,5,Sin Dato
02/02/1955,350,India,10,10,Sin Dato
02/05/1955,1004,Nigeria,13,13,Design Flaws
02/13/1955,1953,Italy,29,29,Sin Dato
02/19/1955,731,Mexico,16,16,Unknown
02/23/1955,920,Zimbabwe,26,1,Cargo Hold / Cabin / Cockpit Fires
02/26/1955,1550,Argentina,7,6,Engine Failures
03/06/1955,-1,Brazil,21,5,Pilot Incapacitation
03/07/1955,-1,Mexico,6,6,Engine Failures
03/08/1955,1340,Mexico,26,26,Sin Dato
03/09/1955,1515,Colombia,8,8,Sin Dato
03/20/1955,2236,USA,35,13,Sin Dato
03/22/1955,203,USA,66,66,Sin Dato
03/26/1955,1112,Coast,23,4,Engine Failures
04/02/1955,-1,USA,2,2,Weather
04/04/1955,1555,USA,3,3,Engine Failures
04/11/1955,1730,Sarawak,19,19,Cargo Hold / Cabin / Cockpit Fires
04/18/1955,-1,Cameroons,14,12,Sin Dato
05/18/1955,1156,Kenya,20,20,Sin Dato
05/21/1955,-1,Venezuela,16,4,Sin Dato
05/26/1955,1427,Canada,2,2,Sin Dato
06/03/1955,-1,Cameroon,3,3,Sin Dato
06/16/1955,115,Paraguay,24,16,Sin Dato
06/18/1955,-1,Mexico,39,18,Cargo Hold / Cabin / Cockpit Fires
07/14/1955,1545,Mexico,22,22,Sin Dato
07/17/1955,624,USA,43,22,Sin Dato
07/27/1955,738,Bulgaria,58,58,Sabotage / Hijacking
08/04/1955,1223,USA,30,30,Cargo Hold / Cabin / Cockpit Fires
08/05/1955,1518,Russia,25,25,Cargo Hold / Cabin / Cockpit Fires
08/11/1955,1420,Germany,67,67,Engine Failures
08/26/1955,800,Brazil,13,13,Sin Dato
08/30/1955,-1,Nepal,3,2,Engine Failures
09/02/1955,-1,Myanmar,12,12,Sin Dato
09/08/1955,757,USA,33,2,Engine Failures
09/10/1955,-1,Cameroon,16,16,Weather
09/17/1955,50,Canada,6,2,Engine Failures
09/22/1955,23,Libya,47,15,Pilot Incapacitation
09/24/1955,2048,Hi,5,3,Fuel Starvation
09/29/1955,1310,Canada,2,1,Fuel Starvation
10/02/1955,-1,Peru,35,19,Cargo Hold / Cabin / Cockpit Fires
10/06/1955,726,USA,66,66,Unknown
10/10/1955,1540,Austria,29,7,Pilot Incapacitation
11/01/1955,1903,USA,44,44,Sin Dato
11/17/1955,-1,USA,14,14,Weather
11/17/1955,2359,Washingon,74,28,Sin Dato
11/20/1955,1859,Japan,11,10,Engine Failures
11/30/1955,2200,USA,10,10,Unknown
12/01/1955,657,Brazil,6,6,Cargo Hold / Cabin / Cockpit Fires
12/09/1955,1207,Russia,21,21,Sin Dato
12/17/1955,2040,USA,2,2,Sin Dato
12/19/1955,-1,Brazil,26,26,Sin Dato
12/21/1955,343,USA,17,17,Weather
01/12/1956,340,Australia,2,1,Sin Dato
01/17/1956,52,Canada,18,4,Engine Failures
01/18/1956,1449,Czechoslovakia,26,22,Sin Dato
01/28/1956,17,France,3,3,Weather
02/13/1956,-1,Canada,2,2,Sin Dato
02/14/1956,-1,Canada,3,2,Sin Dato
02/17/1956,1342,USA,40,40,Sin Dato
02/18/1956,1323,Malta,50,50,Engine Failures
02/20/1956,345,Egypt,64,52,Sin Dato
02/24/1956,-1,Syria,19,19,Weather
02/25/1956,1455,Pakistan,3,3,Pilot Incapacitation
03/21/1956,-1,India,21,2,Sin Dato
03/28/1956,-1,UK,3,1,Sin Dato
03/31/1956,520,India,3,3,Sin Dato
03/31/1956,-1,Thailand,19,19,Sin Dato
04/01/1956,1920,USA,36,22,Cargo Hold / Cabin / Cockpit Fires
04/02/1956,810,USA,38,5,Engine Failures
04/09/1956,951,USA,6,6,Sin Dato
04/18/1956,-1,Brazil,12,3,Sin Dato
04/30/1956,930,UK,54,2,Sin Dato
05/15/1956,-1,Nepal,31,14,Engine Failures
05/15/1956,2217,Canada,2,2,Sin Dato
05/24/1956,1020,Guatemala,31,30,Sin Dato
06/20/1956,132,USA,74,74,Cargo Hold / Cabin / Cockpit Fires
06/24/1956,1725,Nigeria,45,32,Weather
06/30/1956,1032,USA,128,128,Weather
07/09/1956,1353,USA,35,1,Engine Failures
07/13/1956,1535,USA,66,46,Weather
07/15/1956,135,Ireland,4,4,Sin Dato
07/16/1956,715,Argentina,18,18,Sin Dato
08/08/1956,-1,Burma,22,12,Sin Dato
08/29/1956,2045,USA,22,15,Sin Dato
09/09/1956,-1,Jordan,57,1,Cargo Hold / Cabin / Cockpit Fires
09/09/1956,1432,USA,18,0,Sin Dato
10/02/1956,1825,USA,5,5,Sin Dato
10/10/1956,2210,UK,59,59,Unknown
10/16/1956,615,Ocean,31,0,Engine Failures
10/19/1956,-1,India,3,3,Cargo Hold / Cabin / Cockpit Fires
10/28/1956,2200,Sea,16,16,Shot Down
11/05/1956,2352,UK,80,7,Sin Dato
11/07/1956,950,Norway,12,2,Sin Dato
11/15/1956,1453,Nicaragua,25,25,Cargo Hold / Cabin / Cockpit Fires
11/17/1956,1645,Colombia,36,36,Sin Dato
11/24/1956,18,France,35,34,Unknown
11/24/1956,1820,Switzerland,23,23,Sin Dato
11/27/1956,815,Venezuela,25,25,Sin Dato
12/08/1956,705,Colombia,16,14,Engine Failures
12/09/1956,1910,Canada,62,62,Weather
12/12/1956,900,France,5,5,Sin Dato
12/22/1956,2103,Germany,30,3,Sin Dato
12/22/1956,1820,Italy,21,21,Pilot Incapacitation
12/31/1956,4,Arabia,38,12,Weather
01/06/1957,1,USA,10,1,Sin Dato
01/11/1957,900,Argentina,33,17,Cargo Hold / Cabin / Cockpit Fires
01/23/1957,1118,Nicaragua,16,16,Sin Dato
01/29/1957,1924,France,70,2,Engine Failures
01/31/1957,1118,USA,6,5,Sin Dato
02/01/1957,1802,USA,101,21,Weather
02/22/1957,2000,Korea,159,22,Engine Failures
03/02/1957,1719,USA,5,5,Sin Dato
03/04/1957,-1,Japan,17,17,Sin Dato
03/05/1957,1100,UK,22,18,Fuel Starvation
03/09/1957,1000,Colombia,15,15,Sin Dato
03/14/1957,1346,UK,20,20,Sin Dato
03/17/1957,140,Philippines,25,24,Sin Dato
03/18/1957,-1,Bolivia,19,19,Sin Dato
03/22/1957,37,Ocean,67,67,Weather
04/07/1957,-1,Brazil,40,40,Cargo Hold / Cabin / Cockpit Fires
04/08/1957,-1,Algeria,34,34,Engine Failures
04/10/1957,1520,Brazil,30,26,Weather
04/15/1957,753,Mexico,3,3,Sin Dato
04/17/1957,830,Jordan,24,24,Weather
05/01/1957,2120,UK,35,34,Engine Failures
05/05/1957,-1,India,3,1,Weather
05/09/1957,1904,Spain,37,37,Cargo Hold / Cabin / Cockpit Fires
05/13/1957,335,Greenland,3,2,Sin Dato
05/13/1957,-1,India,2,2,Engine Failures
05/13/1957,-1,Argentina,16,16,Weather
06/14/1957,2310,Russia,13,9,Weather
06/18/1957,1020,Switzerland,9,9,Engine Failures
06/22/1957,750,USA,3,3,Engine Failures
06/23/1957,1420,Canada,18,14,Sin Dato
07/01/1957,-1,Pakistan,24,24,Weather
07/03/1957,-1,Canada,4,4,Sin Dato
07/16/1957,336,Indonesia,68,58,Cargo Hold / Cabin / Cockpit Fires
07/16/1957,2120,Formosa,16,16,Sin Dato
07/25/1957,337,USA,16,1,Sin Dato
08/11/1957,1415,Canada,79,79,Weather
08/15/1957,630,Denmark,23,23,Sin Dato
08/20/1957,-1,India,8,8,Engine Failures
08/29/1957,-1,Honduras,12,12,Cargo Hold / Cabin / Cockpit Fires
09/03/1957,-1,Venezuela,8,8,Pilot Incapacitation
09/15/1957,2046,USA,24,12,Weather
09/18/1957,2120,Uruguay,35,1,Pilot Incapacitation
09/27/1957,1130,India,3,3,Sin Dato
09/28/1957,-1,Scotland,3,3,Sin Dato
10/01/1957,1855,Russia,27,27,Fuel Starvation
10/03/1957,155,Lebanon,27,27,Cargo Hold / Cabin / Cockpit Fires
10/18/1957,-1,Brazil,2,2,Engine Failures
10/23/1957,1651,Ireland,7,7,Unknown
10/28/1957,1805,Spain,21,21,Cargo Hold / Cabin / Cockpit Fires
10/30/1957,-1,Mexico,3,3,Sin Dato
11/03/1957,703,Germany,10,7,Cargo Hold / Cabin / Cockpit Fires
11/04/1957,1758,Russia,16,4,Weather
11/06/1957,-1,UK,15,15,Sin Dato
11/08/1957,127,Ocean,44,44,Cargo Hold / Cabin / Cockpit Fires
11/15/1957,2254,UK,58,43,Fuel Starvation
11/15/1957,2008,Spain,4,4,Pilot Incapacitation
11/21/1957,1133,Zealand,4,4,Sin Dato
12/08/1957,1645,Argentina,61,61,Weather
12/10/1957,-1,Canada,10,3,Sin Dato
12/11/1957,1312,Philippines,12,2,Engine Failures
12/18/1957,1235,Russia,27,27,Cargo Hold / Cabin / Cockpit Fires
12/23/1957,-1,UK,4,4,Sin Dato
12/23/1957,1600,USA,23,19,Fuel Starvation
12/31/1957,1257,Argentina,50,9,Engine Failures
01/16/1958,-1,Brazil,3,3,Cargo Hold / Cabin / Cockpit Fires
01/20/1958,-1,Bolivia,11,11,Sin Dato
02/01/1958,-1,Brazil,73,5,Cargo Hold / Cabin / Cockpit Fires
02/01/1958,1915,USA,41,41,Pilot Incapacitation
02/06/1958,1603,Germany,44,23,Cargo Hold / Cabin / Cockpit Fires
02/15/1958,2224,Italy,16,16,Sin Dato
02/19/1958,-1,Polynesia,15,15,Sin Dato
02/19/1958,114,Egypt,21,1,Sin Dato
02/20/1958,535,Azores,22,22,Sin Dato
02/27/1958,945,UK,42,35,Sin Dato
03/07/1958,-1,Egypt,26,8,Sin Dato
03/07/1958,1945,Okinawa,26,26,Sin Dato
03/22/1958,205,Mexico,4,4,Weather
03/24/1958,-1,Nepal,20,20,Engine Failures
03/25/1958,6,USA,24,9,Cargo Hold / Cabin / Cockpit Fires
03/27/1958,1615,USA,18,18,Sin Dato
04/02/1958,-1,Ecuador,14,3,Engine Failures
04/06/1958,2319,USA,47,47,Weather
04/07/1958,900,Ecuador,32,32,Sin Dato
04/14/1958,2107,Spain,16,16,Sin Dato
04/21/1958,830,USA,49,49,Sin Dato
05/15/1958,2018,India,38,21,Sin Dato
05/16/1958,-1,France,3,3,Weather
05/18/1958,425,Morocco,69,65,Weather
05/20/1958,1129,USA,13,12,Sin Dato
05/25/1958,-1,India,5,4,Cargo Hold / Cabin / Cockpit Fires
05/31/1958,-1,Brazil,4,4,Sin Dato
05/31/1958,-1,Algeria,15,15,Sin Dato
06/02/1958,523,Philippines,57,1,Engine Failures
06/02/1958,2206,Mexico,45,45,Sin Dato
06/04/1958,1358,USA,3,1,Pilot Incapacitation
06/09/1958,1150,Russia,24,24,Sin Dato
06/16/1958,1745,Brazil,26,21,Sin Dato
06/25/1958,1100,India,7,5,Fuel Starvation
06/27/1958,30,USA,15,15,Fuel Starvation
07/09/1958,1405,Baangladesh,3,3,Weather
08/09/1958,114,Libya,54,36,Sin Dato
08/11/1958,1900,Brazil,11,10,Unknown
08/12/1958,-1,Japan,33,33,Engine Failures
08/14/1958,345,Ireland,99,99,Sin Dato
08/15/1958,2334,USA,34,25,Weather
08/15/1958,2220,Russia,64,64,Weather
09/02/1958,1400,Russia,17,17,Shot Down
09/02/1958,610,Guam,19,19,Cargo Hold / Cabin / Cockpit Fires
09/02/1958,632,UK,3,3,Engine Failures
09/05/1958,1730,Brazil,18,14,Pilot Incapacitation
09/07/1958,318,Russia,27,27,Weather
09/08/1958,1920,USA,16,13,Sin Dato
09/09/1958,-1,Japan,8,8,Sin Dato
09/19/1958,-1,France,15,15,Sin Dato
09/19/1958,1615,Russia,28,28,Sin Dato
09/29/1958,-1,Sea,5,5,Sin Dato
10/09/1958,1825,USA,19,19,Sin Dato
10/14/1958,22,Venezuela,23,23,Sin Dato
10/15/1958,1730,Bolivia,20,20,Sin Dato
10/17/1958,2130,Russia,80,80,Weather
10/18/1958,-1,Canada,29,11,Weather
10/22/1958,1150,Italy,31,31,Sin Dato
11/01/1958,201,Cuba,20,17,Fuel Starvation
11/03/1958,2000,Italy,8,8,Pilot Incapacitation
11/08/1958,-1,Bolivia,3,3,Sin Dato
11/09/1958,1321,Ocean,36,36,Sin Dato
11/16/1958,-1,USA,2,2,Weather
12/04/1958,1715,Spain,21,21,Weather
12/23/1958,310,Uzbekstan,21,21,Sin Dato
12/24/1958,1158,UK,12,9,Weather
12/26/1958,1252,Zimbabwe,70,3,Weather
12/30/1958,1209,Brazil,37,21,Pilot Incapacitation
01/06/1959,1120,Guatemala,5,5,Weather
01/08/1959,2032,USA,10,10,Pilot Incapacitation
01/11/1959,1117,Brazil,39,36,Pilot Incapacitation
01/14/1959,-1,USA,2,2,Sin Dato
01/16/1959,2140,Argentina,52,51,Sin Dato
01/18/1959,333,Russia,25,25,Cargo Hold / Cabin / Cockpit Fires
01/21/1959,1530,Venezuela,4,4,Sin Dato
01/22/1959,1700,Jordan,15,10,Sin Dato
01/27/1959,609,Italy,6,2,Cargo Hold / Cabin / Cockpit Fires
02/01/1959,2350,USA,28,3,Sin Dato
02/03/1959,100,USA,4,4,Sin Dato
02/03/1959,2356,USA,73,65,Weather
02/17/1959,1647,UK,24,14,Weather
02/18/1959,-1,Chile,5,5,Engine Failures
03/05/1959,1335,Nicaragua,19,15,Engine Failures
03/12/1959,1410,India,7,5,Weather
03/13/1959,902,Spain,18,1,Sin Dato
03/29/1959,-1,Republic,9,9,Engine Failures
03/29/1959,1045,India,24,24,Weather
03/30/1959,2346,USA,2,2,Cargo Hold / Cabin / Cockpit Fires
04/17/1959,639,Mexico,26,26,Cargo Hold / Cabin / Cockpit Fires
04/23/1959,946,Turkey,12,12,Sin Dato
04/29/1959,1700,Spain,28,28,Sin Dato
05/02/1959,2212,Spain,5,5,Sin Dato
05/12/1959,1613,USA,31,31,Weather
05/12/1959,1529,USA,44,2,Cargo Hold / Cabin / Cockpit Fires
05/13/1959,-1,Peru,12,12,Sin Dato
05/15/1959,2042,Aregntina,10,10,Sin Dato
05/21/1959,-1,Peru,8,8,Sin Dato
06/01/1959,-1,Nicaragua,60,60,Shot Down
06/05/1959,-1,USA,19,19,Sin Dato
06/12/1959,-1,Ontario,8,8,Engine Failures
06/23/1959,1930,Peru,14,14,Sin Dato
06/26/1959,1735,Italy,68,68,Weather
06/30/1959,1035,Okinawa,1,0,Cargo Hold / Cabin / Cockpit Fires
07/15/1959,-1,Kuwait,32,32,Engine Failures
08/03/1959,1030,India,6,6,Engine Failures
08/14/1959,2214,Pakistan,3,2,Engine Failures
08/15/1959,1642,USA,5,5,Sin Dato
08/19/1959,1710,Spain,32,32,Sin Dato
08/27/1959,-1,Paraguay,50,2,Sin Dato
09/02/1959,1716,USA,2,2,Engine Failures
09/08/1959,-1,Mexico,16,1,Sabotage / Hijacking
09/12/1959,415,Honduras,3,3,Unknown
09/23/1959,1840,Brazil,20,20,Sin Dato
09/24/1959,1720,USA,16,16,Sin Dato
09/24/1959,2324,France,65,54,Engine Failures
09/29/1959,2309,USA,34,34,Design Flaws
10/06/1959,-1,Suriname,2,2,Weather
10/23/1959,2210,Russia,28,28,Sin Dato
10/26/1959,2018,USA,19,1,Cargo Hold / Cabin / Cockpit Fires
10/30/1959,2040,USA,27,26,Sin Dato
10/30/1959,1525,Greece,18,18,Engine Failures
11/04/1959,2307,Canada,5,5,Cargo Hold / Cabin / Cockpit Fires
11/16/1959,1906,Russia,40,40,Sin Dato
11/16/1959,55,Mexico,42,42,Sabotage / Hijacking
11/21/1959,-1,Lebanon,27,24,Cargo Hold / Cabin / Cockpit Fires
11/24/1959,535,USA,3,3,Cargo Hold / Cabin / Cockpit Fires
12/01/1959,947,USA,26,25,Sin Dato
12/08/1959,1657,Colombia,45,45,Sin Dato
12/13/1959,928,Russia,29,29,Sin Dato
12/17/1959,1620,USA,3,3,Engine Failures
12/21/1959,816,Italy,2,2,Sin Dato
12/22/1959,1340,Brazil,32,32,Sin Dato
12/24/1959,500,Indonesia,2,1,Engine Failures
12/31/1959,-1,Bolivia,11,11,Sin Dato
01/03/1960,1040,India,9,9,Engine Failures
01/06/1960,238,USA,34,34,Cargo Hold / Cabin / Cockpit Fires
01/10/1960,1538,Sirte,10,10,Sin Dato
01/18/1960,2219,USA,50,50,Cargo Hold / Cabin / Cockpit Fires
01/19/1960,1847,Turkey,42,42,Sin Dato
01/21/1960,-1,Jamacia,46,37,Cargo Hold / Cabin / Cockpit Fires
01/26/1960,1230,Australia,9,9,Sin Dato
02/05/1960,720,Bolivia,59,59,Engine Failures
02/25/1960,1307,Brazil,64,61,Sin Dato
02/26/1960,1657,Ukraine,33,32,Sin Dato
02/26/1960,-1,Ireland,52,34,Unknown
03/15/1960,-1,Colombia,13,6,Sin Dato
03/16/1960,1940,Japan,40,5,Sin Dato
03/17/1960,1525,USA,63,63,Weather
03/19/1960,1110,Colombia,46,25,Engine Failures
04/05/1960,1439,Nicaragua,18,2,Engine Failures
04/12/1960,1420,Brazil,22,10,Pilot Incapacitation
04/14/1960,-1,Taiwan,18,18,Sin Dato
04/18/1960,-1,Newfoundland,9,9,Sin Dato
04/19/1960,2048,Colombia,51,37,Sin Dato
04/20/1960,1306,USA,44,4,Sin Dato
04/22/1960,755,Congo,35,35,Sin Dato
04/28/1960,822,Venezuela,13,13,Sin Dato
05/15/1960,2257,Sudan,12,12,Sin Dato
05/18/1960,1530,Argentina,9,9,Weather
05/23/1960,1152,USA,4,4,Engine Failures
06/10/1960,1055,USA,31,31,Sin Dato
06/10/1960,2205,Australia,29,29,Weather
06/14/1960,447,USA,14,14,Sin Dato
06/24/1960,1830,Brazil,54,54,Sin Dato
07/06/1960,1430,USA,21,18,Unknown
07/10/1960,1030,Gulf,20,20,Sin Dato
07/11/1960,1145,Ecuador,18,18,Cargo Hold / Cabin / Cockpit Fires
07/14/1960,430,Philippines,58,1,Cargo Hold / Cabin / Cockpit Fires
07/15/1960,940,Ethiopia,11,1,Pilot Incapacitation
07/16/1960,1538,Denmark,9,8,Engine Failures
07/19/1960,1345,Zaire,41,37,Engine Failures
07/20/1960,1230,Russia,23,23,Weather
07/27/1960,2238,USA,13,13,Sin Dato
07/31/1960,1156,Italy,34,1,Engine Failures
08/01/1960,-1,Bolivia,6,6,Sin Dato
08/17/1960,1558,Ukraine,34,34,Cargo Hold / Cabin / Cockpit Fires
